Country,R0,Strategy,Social_distance,total_pop,total_infected,total_deaths,total_hospital,total_critical
Lesotho,2.7,Enhanced social distancing of elderly,38%,2142252,1293326,3175,24525,4211
Lesotho,3,Enhanced social distancing of elderly,44%,2142252,1370102,4283,28639,5679
Lesotho,3.3,Enhanced social distancing of elderly,47%,2142252,1436291,4626,30433,6132
Lesotho,2.4,Social distancing whole population,37%,2142252,1187919,4237,26249,5618
Lesotho,2.7,Social distancing whole population,41%,2142252,1287721,4600,28507,6098
Lesotho,3,Social distancing whole population,45%,2142252,1368291,4893,30335,6487
Lesotho,3.3,Social distancing whole population,48%,2142252,1434722,5135,31842,6811
Lesotho,2.4,Unmitigated,0%,2142252,1827033,6562,40750,8699
Lesotho,2.7,Unmitigated,0%,2142252,1914644,6878,42724,9120
Lesotho,3,Unmitigated,0%,2142252,1975316,7095,44080,9410
Lesotho,3.3,Unmitigated,0%,2142252,2018273,7248,45030,9609
Liberia,2.4,Enhanced social distancing of elderly,35%,5057677,2839579,5428,45623,7196
Liberia,2.7,Enhanced social distancing of elderly,39%,5057677,3071776,6088,50006,8071
Liberia,3,Enhanced social distancing of elderly,44%,5057677,3235956,7913,57134,10491
Liberia,3.3,Enhanced social distancing of elderly,47%,5057677,3388099,8466,60333,11228
Liberia,2.4,Social distancing whole population,37%,5057677,2803427,7754,52186,10279
Liberia,2.7,Social distancing whole population,41%,5057677,3035872,8349,56348,11073
Liberia,3,Social distancing whole population,45%,5057677,3223413,8822,59675,11699
Liberia,3.3,Social distancing whole population,48%,5057677,3378017,9206,62394,12204
Liberia,2.4,Unmitigated,0%,5057677,4305227,11366,78085,15068
Liberia,2.7,Unmitigated,0%,5057677,4509818,11796,81326,15640
Liberia,3,Unmitigated,0%,5057677,4652057,12078,83496,16011
Liberia,3.3,Unmitigated,0%,5057677,4753297,12269,84983,16264
Libya,2.4,Enhanced social distancing of elderly,34%,6871287,3714507,9524,86995,12626
Libya,2.7,Enhanced social distancing of elderly,38%,6871287,4030293,10740,95344,14241
Libya,3,Enhanced social distancing of elderly,44%,6871287,4233774,14290,108353,18950
Libya,3.3,Enhanced social distancing of elderly,47%,6871287,4437402,15411,114582,20431
Libya,2.4,Social distancing whole population,37%,6871287,3665629,14215,99266,18846
Libya,2.7,Social distancing whole population,41%,6871287,3973383,15389,107327,20400
Libya,3,Social distancing whole population,45%,6871287,4222482,16332,113793,21651
Libya,3.3,Social distancing whole population,48%,6871287,4428553,17109,119099,22685
Libya,2.4,Unmitigated,0%,6871287,5663452,21621,149588,28664
Libya,2.7,Unmitigated,0%,6871287,5944726,22588,156014,29945
Libya,3,Unmitigated,0%,6871287,6144191,23245,160343,30829
Libya,3.3,Unmitigated,0%,6871287,6289632,23701,163325,31426
Lithuania,2.4,Enhanced social distancing of elderly,34%,2722291,1124367,4657,33368,6174
Lithuania,2.7,Enhanced social distancing of elderly,38%,2722291,1245694,5533,38275,7335
Lithuania,3,Enhanced social distancing of elderly,42%,2722291,1379646,8497,48445,11264
Lithuania,3.3,Enhanced social distancing of elderly,45%,2722291,1471730,9651,53398,12803
Lithuania,2.4,Social distancing whole population,36%,2722291,1187198,8580,44093,11375
Lithuania,2.7,Social distancing whole population,39%,2722291,1312688,9865,50032,13083
Lithuania,3,Social distancing whole population,43%,2722291,1417667,11018,55235,14611
Lithuania,3.3,Social distancing whole population,46%,2722291,1506979,12059,59842,15990
Lithuania,2.4,Unmitigated,0%,2722291,1980449,18810,87690,24937
Lithuania,2.7,Unmitigated,0%,2722291,2126281,21460,97766,28452
Lithuania,3,Unmitigated,0%,2722291,2237002,23734,106061,31462
Lithuania,3.3,Unmitigated,0%,2722291,2322740,25691,112948,34058
Luxembourg,2.4,Enhanced social distancing of elderly,35%,625976,292426,986,8075,1307
Luxembourg,2.7,Enhanced social distancing of elderly,39%,625976,320770,1150,9094,1525
Luxembourg,3,Enhanced social distancing of elderly,43%,625976,350007,1683,11050,2232
Luxembourg,3.3,Enhanced social distancing of elderly,46%,625976,370484,1885,12000,2498
Luxembourg,2.4,Social distancing whole population,36%,625976,303795,1681,10040,2229
Luxembourg,2.7,Social distancing whole population,40%,625976,332664,1903,11206,2524
Luxembourg,3,Social distancing whole population,43%,625976,356393,2098,12202,2781
Luxembourg,3.3,Social distancing whole population,46%,625976,376269,2270,13064,3010
Luxembourg,2.4,Unmitigated,0%,625976,487194,3454,18507,4579
Luxembourg,2.7,Unmitigated,0%,625976,517476,3875,20258,5136
Luxembourg,3,Unmitigated,0%,625976,539742,4227,21657,5606
Luxembourg,3.3,Unmitigated,0%,625976,556496,4525,22791,6000
"Macao SAR, China",2.4,Enhanced social distancing of elderly,32%,649342,338606,1381,11067,1830
"Macao SAR, China",2.7,Enhanced social distancing of elderly,36%,649342,372942,1612,12479,2137
"Macao SAR, China",3,Enhanced social distancing of elderly,42%,649342,395630,2289,14785,3034
"Macao SAR, China",3.3,Enhanced social distancing of elderly,45%,649342,416939,2533,15926,3360
"Macao SAR, China",2.4,Social distancing whole population,36%,649342,341914,2314,13603,3068
"Macao SAR, China",2.7,Social distancing whole population,40%,649342,372368,2569,14974,3406
"Macao SAR, China",3,Social distancing whole population,44%,649342,397118,2783,16109,3691
"Macao SAR, China",3.3,Social distancing whole population,47%,649342,417644,2965,17066,3932
"Macao SAR, China",2.4,Unmitigated,0%,649342,533349,4092,22743,5425
"Macao SAR, China",2.7,Unmitigated,0%,649342,561964,4401,24232,5835
"Macao SAR, China",3,Unmitigated,0%,649342,582259,4629,25310,6136
"Macao SAR, China",3.3,Unmitigated,0%,649342,596987,4799,26105,6362
Madagascar,2.4,Enhanced social distancing of elderly,35%,27691019,15501912,29093,246499,38569
Madagascar,2.7,Enhanced social distancing of elderly,39%,27691019,16771857,32586,269994,43200
Madagascar,3,Enhanced social distancing of elderly,44%,27691019,17657979,42016,307076,55696
Madagascar,3.3,Enhanced social distancing of elderly,47%,27691019,18490551,44876,324026,59501
Madagascar,2.4,Social distancing whole population,37%,27691019,15281700,41022,279723,54384
Madagascar,2.7,Social distancing whole population,41%,27691019,16554279,44128,301956,58500
Madagascar,3,Social distancing whole population,45%,27691019,17581734,46586,319719,61789
Madagascar,3.3,Social distancing whole population,48%,27691019,18429649,48579,334235,64410
Madagascar,2.4,Unmitigated,0%,27691019,23519130,59652,417621,79082
Madagascar,2.7,Unmitigated,0%,27691019,24646766,61817,434778,81969
Madagascar,3,Unmitigated,0%,27691019,25432974,63229,446252,83822
Madagascar,3.3,Unmitigated,0%,27691019,25994120,64170,454102,85067
Malawi,2.4,Enhanced social distancing of elderly,35%,19129955,10709293,17863,154488,23681
Malawi,2.7,Enhanced social distancing of elderly,39%,19129955,11579972,19936,168629,26432
Malawi,3,Enhanced social distancing of elderly,44%,19129955,12173239,25575,190883,33919
Malawi,3.3,Enhanced social distancing of elderly,47%,19129955,12745288,27228,200897,36101
Malawi,2.4,Social distancing whole population,37%,19129955,10527684,25059,174492,33221
Malawi,2.7,Social distancing whole population,41%,19129955,11404606,26848,187754,35598
Malawi,3,Social distancing whole population,45%,19129955,12113027,28251,198275,37450
Malawi,3.3,Social distancing whole population,48%,19129955,12697761,29377,206813,38944
Malawi,2.4,Unmitigated,0%,19129955,16215276,35425,254686,46963
Malawi,2.7,Unmitigated,0%,19129955,16996758,36545,264184,48447
Malawi,3,Unmitigated,0%,19129955,17542970,37258,270437,49413
Malawi,3.3,Unmitigated,0%,19129955,17933338,37722,274650,50025
Malaysia,2.4,Enhanced social distancing of elderly,34%,32365998,17131829,49633,425701,65800
Malaysia,2.7,Enhanced social distancing of elderly,38%,32365998,18669619,56756,470985,75255
Malaysia,3,Enhanced social distancing of elderly,43%,32365998,19785632,79306,551856,105131
Malaysia,3.3,Enhanced social distancing of elderly,47%,32365998,20778280,86765,588680,115023
Malaysia,2.4,Social distancing whole population,37%,32365998,17186696,80183,511467,106300
Malaysia,2.7,Social distancing whole population,41%,32365998,18646900,87855,556772,116466
Malaysia,3,Social distancing whole population,45%,32365998,19830506,94191,593676,124919
Malaysia,3.3,Social distancing whole population,48%,32365998,20810737,99520,624354,131964
Malaysia,2.4,Unmitigated,0%,32365998,26655264,133076,808989,176421
Malaysia,2.7,Unmitigated,0%,32365998,28002253,141272,851498,187345
Malaysia,3,Unmitigated,0%,32365998,28959354,147190,881381,195114
Malaysia,3.3,Unmitigated,0%,32365998,29657013,151538,902812,200881
Maldives,2.4,Enhanced social distancing of elderly,33%,540542,294647,739,6208,980
Maldives,2.7,Enhanced social distancing of elderly,37%,540542,319707,830,6824,1100
Maldives,3,Enhanced social distancing of elderly,43%,540542,335404,1063,7670,1410
Maldives,3.3,Enhanced social distancing of elderly,46%,540542,351839,1136,8108,1507
Maldives,2.4,Social distancing whole population,37%,540542,287085,1031,6858,1366
Maldives,2.7,Social distancing whole population,41%,540542,312151,1112,7444,1475
Maldives,3,Social distancing whole population,44%,540542,332551,1178,7917,1561
Maldives,3.3,Social distancing whole population,47%,540542,349493,1230,8308,1631
Maldives,2.4,Unmitigated,0%,540542,448388,1515,10539,2008
Maldives,2.7,Unmitigated,0%,540542,472283,1575,11059,2088
Maldives,3,Unmitigated,0%,540542,489230,1615,11422,2142
Maldives,3.3,Unmitigated,0%,540542,501497,1642,11681,2178
Mali,2.4,Enhanced social distancing of elderly,35%,20250834,11202474,17885,155665,23710
Mali,2.7,Enhanced social distancing of elderly,39%,20250834,12116430,19927,169747,26423
Mali,3,Enhanced social distancing of elderly,44%,20250834,12737491,25398,191791,33669
Mali,3.3,Enhanced social distancing of elderly,47%,20250834,13339759,26996,201683,35788
Mali,2.4,Social distancing whole population,37%,20250834,11005135,24844,175416,32937
Mali,2.7,Social distancing whole population,41%,20250834,11926824,26583,188577,35240
Mali,3,Social distancing whole population,45%,20250834,12672293,27941,198992,37055
Mali,3.3,Social distancing whole population,48%,20250834,13288502,29027,207426,38495
Mali,2.4,Unmitigated,0%,20250834,17011008,34778,254264,46106
Mali,2.7,Unmitigated,0%,20250834,17849171,35824,263459,47513
Mali,3,Unmitigated,0%,20250834,18439564,36481,269469,48370
Mali,3.3,Unmitigated,0%,20250834,18865183,36905,273496,48922
Malta,2.4,Enhanced social distancing of elderly,34%,441539,184826,722,5320,957
Malta,2.7,Enhanced social distancing of elderly,37%,441539,204669,858,6096,1137
Malta,3,Enhanced social distancing of elderly,41%,441539,226682,1320,7739,1751
Malta,3.3,Enhanced social distancing of elderly,44%,441539,241652,1499,8525,1988
Malta,2.4,Social distancing whole population,35%,441539,195521,1345,7108,1783
Malta,2.7,Social distancing whole population,39%,441539,216146,1547,8062,2052
Malta,3,Social distancing whole population,42%,441539,233312,1728,8894,2290
Malta,3.3,Social distancing whole population,45%,441539,247848,1890,9627,2506
Malta,2.4,Unmitigated,0%,441539,322728,2914,13933,3863
Malta,2.7,Unmitigated,0%,441539,346285,3326,15529,4409
Malta,3,Unmitigated,0%,441539,364067,3678,16841,4876
Malta,3.3,Unmitigated,0%,441539,377764,3981,17930,5280
Martinique,2.4,Enhanced social distancing of elderly,32%,375265,142885,753,4354,998
Martinique,2.7,Enhanced social distancing of elderly,36%,375265,159931,906,5096,1201
Martinique,3,Enhanced social distancing of elderly,40%,375265,179676,1408,6729,1866
Martinique,3.3,Enhanced social distancing of elderly,43%,375265,192773,1594,7477,2113
Martinique,2.4,Social distancing whole population,35%,375265,153147,1406,6123,1864
Martinique,2.7,Social distancing whole population,39%,375265,170675,1615,7003,2140
Martinique,3,Social distancing whole population,42%,375265,185483,1800,7778,2387
Martinique,3.3,Social distancing whole population,45%,375265,198144,1965,8464,2606
Martinique,2.4,Unmitigated,0%,375265,261436,2904,12275,3850
Martinique,2.7,Unmitigated,0%,375265,282960,3279,13746,4349
Martinique,3,Unmitigated,0%,375265,299494,3593,14954,4763
Martinique,3.3,Unmitigated,0%,375265,312422,3857,15955,5113
Mauritania,2.4,Enhanced social distancing of elderly,35%,4649660,2597756,4963,42330,6579
Mauritania,2.7,Enhanced social distancing of elderly,39%,4649660,2811508,5564,46406,7375
Mauritania,3,Enhanced social distancing of elderly,44%,4649660,2961434,7192,52827,9538
Mauritania,3.3,Enhanced social distancing of elderly,47%,4649660,3101627,7689,55782,10197
Mauritania,2.4,Social distancing whole population,37%,4649660,2562175,7024,48068,9312
Mauritania,2.7,Social distancing whole population,41%,4649660,2776128,7563,51937,10031
Mauritania,3,Social distancing whole population,45%,4649660,2948945,7992,55034,10596
Mauritania,3.3,Social distancing whole population,48%,4649660,3091553,8339,57568,11054
Mauritania,2.4,Unmitigated,0%,4649660,3944934,10278,72166,13626
Mauritania,2.7,Unmitigated,0%,4649660,4135147,10663,75214,14136
Mauritania,3,Unmitigated,0%,4649660,4267768,10916,77262,14471
Mauritania,3.3,Unmitigated,0%,4649660,4362362,11086,78667,14702
Mauritius,2.4,Enhanced social distancing of elderly,33%,1271767,641738,2767,18683,3669
Mauritius,2.7,Enhanced social distancing of elderly,37%,1271767,701618,3195,21015,4238
Mauritius,3,Enhanced social distancing of elderly,42%,1271767,759994,4562,25790,6048
Mauritius,3.3,Enhanced social distancing of elderly,46%,1271767,801796,5013,27837,6646
Mauritius,2.4,Social distancing whole population,37%,1271767,660448,4561,23768,6046
Mauritius,2.7,Social distancing whole population,41%,1271767,720034,5037,26203,6676
Mauritius,3,Social distancing whole population,44%,1271767,768658,5436,28235,7206
Mauritius,3.3,Social distancing whole population,47%,1271767,809159,5776,29963,7662
Mauritius,2.4,Unmitigated,0%,1271767,1043823,7934,40748,10518
Mauritius,2.7,Unmitigated,0%,1271767,1101864,8534,43689,11319
Mauritius,3,Unmitigated,0%,1271767,1143285,8987,45887,11917
Mauritius,3.3,Unmitigated,0%,1271767,1173471,9334,47554,12374
Mayotte,2.4,Enhanced social distancing of elderly,34%,272813,153770,326,2585,432
Mayotte,2.7,Enhanced social distancing of elderly,38%,272813,166356,368,2842,488
Mayotte,3,Enhanced social distancing of elderly,43%,272813,175595,495,3296,656
Mayotte,3.3,Enhanced social distancing of elderly,46%,272813,183846,533,3491,707
Mayotte,2.4,Social distancing whole population,37%,272813,152454,494,3038,655
Mayotte,2.7,Social distancing whole population,41%,272813,165018,534,3286,708
Mayotte,3,Social distancing whole population,44%,272813,175142,566,3484,750
Mayotte,3.3,Social distancing whole population,47%,272813,183480,592,3647,785
Mayotte,2.4,Unmitigated,0%,272813,231816,742,4576,984
Mayotte,2.7,Unmitigated,0%,272813,242878,775,4783,1028
Mayotte,3,Unmitigated,0%,272813,250538,798,4923,1058
Mayotte,3.3,Unmitigated,0%,272813,255964,814,5021,1080
Mexico,2.4,Enhanced social distancing of elderly,34%,128932753,59137472,148798,1150908,197265
Mexico,2.7,Enhanced social distancing of elderly,38%,128932753,65655490,175899,1324030,233279
Mexico,3,Enhanced social distancing of elderly,42%,128932753,71714250,253617,1627074,336272
Mexico,3.3,Enhanced social distancing of elderly,45%,128932753,76362508,283182,1781124,375398
Mexico,2.4,Social distancing whole population,36%,128932753,60474818,243724,1425857,323109
Mexico,2.7,Social distancing whole population,40%,128932753,66940433,276968,1613561,367159
Mexico,3,Social distancing whole population,43%,128932753,72332334,305861,1775501,405471
Mexico,3.3,Social distancing whole population,46%,128932753,76887369,331130,1916226,439163
Mexico,2.4,Unmitigated,0%,128932753,100324640,475425,2702534,630280
Mexico,2.7,Unmitigated,0%,128932753,107211257,523460,2956839,694408
Mexico,3,Unmitigated,0%,128932753,112242507,560789,3151367,743660
Mexico,3.3,Unmitigated,0%,128932753,115977950,590083,3301663,782168
Micronesia (Fed. States of),2.4,Enhanced social distancing of elderly,32%,115021,59405,143,1286,189
Micronesia (Fed. States of),2.7,Enhanced social distancing of elderly,36%,115021,64631,161,1413,213
Micronesia (Fed. States of),3,Enhanced social distancing of elderly,42%,115021,68021,208,1606,276
Micronesia (Fed. States of),3.3,Enhanced social distancing of elderly,45%,115021,71450,224,1701,297
Micronesia (Fed. States of),2.4,Social distancing whole population,35%,115021,58591,205,1473,272
Micronesia (Fed. States of),2.7,Social distancing whole population,39%,115021,63688,223,1595,295
Micronesia (Fed. States of),3,Social distancing whole population,43%,115021,67847,237,1695,314
Micronesia (Fed. States of),3.3,Social distancing whole population,46%,115021,71311,248,1776,329
Micronesia (Fed. States of),2.4,Unmitigated,0%,115021,90222,309,2208,410
Micronesia (Fed. States of),2.7,Unmitigated,0%,115021,95340,325,2317,431
Micronesia (Fed. States of),3,Unmitigated,0%,115021,99044,336,2393,445
Micronesia (Fed. States of),3.3,Unmitigated,0%,115021,101802,344,2447,456
Moldova,2.4,Enhanced social distancing of elderly,34%,4033963,1867932,5826,49449,7723
Moldova,2.7,Enhanced social distancing of elderly,38%,4033963,2061207,6821,56120,9042
Moldova,3,Enhanced social distancing of elderly,42%,4033963,2251906,9757,67887,12939
Moldova,3.3,Enhanced social distancing of elderly,45%,4033963,2390597,10924,73949,14486
Moldova,2.4,Social distancing whole population,36%,4033963,1930740,9544,60546,12652
Moldova,2.7,Social distancing whole population,40%,4033963,2126376,10865,68095,14409
Moldova,3,Social distancing whole population,43%,4033963,2287606,12021,74552,15935
Moldova,3.3,Social distancing whole population,46%,4033963,2422846,13043,80146,17289
Moldova,2.4,Unmitigated,0%,4033963,3138766,19480,113136,25825
Moldova,2.7,Unmitigated,0%,4033963,3343097,21766,123951,28854
Moldova,3,Unmitigated,0%,4033963,3492602,23635,132451,31333
Moldova,3.3,Unmitigated,0%,4033963,3604399,25174,139215,33388
Mongolia,2.4,Enhanced social distancing of elderly,34%,3278292,1736372,4581,41252,6073
Mongolia,2.7,Enhanced social distancing of elderly,38%,3278292,1886621,5168,45279,6853
Mongolia,3,Enhanced social distancing of elderly,43%,3278292,1979127,6774,51274,8982
Mongolia,3.3,Enhanced social distancing of elderly,47%,3278292,2075928,7295,54235,9671
Mongolia,2.4,Social distancing whole population,37%,3278292,1707448,6667,46735,8839
Mongolia,2.7,Social distancing whole population,41%,3278292,1853231,7221,50589,9573
Mongolia,3,Social distancing whole population,45%,3278292,1971639,7667,53687,10164
Mongolia,3.3,Social distancing whole population,48%,3278292,2069871,8034,56232,10656
Mongolia,2.4,Unmitigated,0%,3278292,2654760,10124,70672,13421
Mongolia,2.7,Unmitigated,0%,3278292,2792033,10574,73767,14020
Mongolia,3,Unmitigated,0%,3278292,2890518,10879,75858,14428
Mongolia,3.3,Unmitigated,0%,3278292,2963123,11089,77300,14703
Montenegro,2.4,Enhanced social distancing of elderly,34%,628062,282356,945,7436,1253
Montenegro,2.7,Enhanced social distancing of elderly,38%,628062,311452,1112,8463,1475
Montenegro,3,Enhanced social distancing of elderly,42%,628062,341629,1651,10469,2188
Montenegro,3.3,Enhanced social distancing of elderly,45%,628062,362953,1860,11457,2467
Montenegro,2.4,Social distancing whole population,36%,628062,294351,1651,9491,2188
Montenegro,2.7,Social distancing whole population,39%,628062,324078,1885,10697,2501
Montenegro,3,Social distancing whole population,43%,628062,348680,2093,11738,2775
Montenegro,3.3,Social distancing whole population,46%,628062,369400,2278,12649,3019
Montenegro,2.4,Unmitigated,0%,628062,479072,3468,18101,4597
Montenegro,2.7,Unmitigated,0%,628062,511220,3911,19972,5186
Montenegro,3,Unmitigated,0%,628062,535034,4282,21474,5677
Montenegro,3.3,Unmitigated,0%,628062,553058,4595,22694,6091
Morocco,2.4,Enhanced social distancing of elderly,34%,36910558,19221003,56942,478408,75489
Morocco,2.7,Enhanced social distancing of elderly,38%,36910558,20990716,65400,531290,86726
Morocco,3,Enhanced social distancing of elderly,43%,36910558,22270080,92019,626661,122024
Morocco,3.3,Enhanced social distancing of elderly,46%,36910558,23411429,101004,670230,133898
Morocco,2.4,Social distancing whole population,37%,36910558,19310690,93011,580929,123306
Morocco,2.7,Social distancing whole population,41%,36910558,20973820,102267,633944,135566
Morocco,3,Social distancing whole population,45%,36910558,22325887,109964,677382,145770
Morocco,3.3,Social distancing whole population,48%,36910558,23448100,116478,713664,154445
Morocco,2.4,Unmitigated,0%,36910558,30105410,157668,932587,209023
Morocco,2.7,Unmitigated,0%,36910558,31669635,168028,984448,222754
Morocco,3,Unmitigated,0%,36910558,32788459,175580,1021279,232870
Morocco,3.3,Unmitigated,0%,36910558,33609760,181170,1047932,240207
Mozambique,2.4,Enhanced social distancing of elderly,35%,31255435,17394673,29801,252706,39507
Mozambique,2.7,Enhanced social distancing of elderly,39%,31255435,18815979,33331,276162,44188
Mozambique,3,Enhanced social distancing of elderly,44%,31255435,19802361,43159,314498,57214
Mozambique,3.3,Enhanced social distancing of elderly,47%,31255435,20736677,46040,331350,61059
Mozambique,2.4,Social distancing whole population,37%,31255435,17131199,42412,288304,56227
Mozambique,2.7,Social distancing whole population,41%,31255435,18559204,45507,310384,60338
Mozambique,3,Social distancing whole population,45%,31255435,19713093,47942,327918,63585
Mozambique,3.3,Social distancing whole population,48%,31255435,20668307,49910,342194,66174
Mozambique,2.4,Unmitigated,0%,31255435,26409840,60577,422211,80308
Mozambique,2.7,Unmitigated,0%,31255435,27690360,62589,438109,82986
Mozambique,3,Unmitigated,0%,31255435,28588342,63878,448566,84679
Mozambique,3.3,Unmitigated,0%,31255435,29232057,64725,455605,85804
Myanmar,2.4,Enhanced social distancing of elderly,34%,54409794,29047943,81418,708100,107938
Myanmar,2.7,Enhanced social distancing of elderly,38%,54409794,31619898,92761,782414,123012
Myanmar,3,Enhanced social distancing of elderly,44%,54409794,33380436,126306,907327,167511
Myanmar,3.3,Enhanced social distancing of elderly,47%,54409794,35028320,137383,965581,182126
Myanmar,2.4,Social distancing whole population,37%,54409794,28957501,125968,835343,166998
Myanmar,2.7,Social distancing whole population,41%,54409794,31403893,137478,907961,182281
Myanmar,3,Social distancing whole population,45%,54409794,33386173,146902,966921,194733
Myanmar,3.3,Social distancing whole population,48%,54409794,35026707,154767,1015792,205173
Myanmar,2.4,Unmitigated,0%,54409794,44842404,202947,1307584,269050
Myanmar,2.7,Unmitigated,0%,54409794,47089547,214129,1373135,283863
Myanmar,3,Unmitigated,0%,54409794,48685416,222025,1418766,294461
Myanmar,3.3,Unmitigated,0%,54409794,49848836,227698,1451143,301930
Namibia,2.4,Enhanced social distancing of elderly,34%,2540916,1419989,2879,24013,3817
Namibia,2.7,Enhanced social distancing of elderly,39%,2540916,1537651,3239,26380,4294
Namibia,3,Enhanced social distancing of elderly,44%,2540916,1621703,4251,30234,5635
Namibia,3.3,Enhanced social distancing of elderly,47%,2540916,1698907,4560,31982,6046
Namibia,2.4,Social distancing whole population,37%,2540916,1403387,4173,27558,5532
Namibia,2.7,Social distancing whole population,41%,2540916,1520889,4505,29821,5973
Namibia,3,Social distancing whole population,45%,2540916,1615804,4771,31639,6328
Namibia,3.3,Social distancing whole population,48%,2540916,1694109,4987,33131,6613
Namibia,2.4,Unmitigated,0%,2540916,2160157,6219,41781,8244
Namibia,2.7,Unmitigated,0%,2540916,2264232,6474,43627,8585
Namibia,3,Unmitigated,0%,2540916,2336643,6645,44877,8809
Namibia,3.3,Unmitigated,0%,2540916,2388147,6762,45743,8964
Nepal,2.4,Enhanced social distancing of elderly,34%,29136808,16615716,45526,340844,60354
Nepal,2.7,Enhanced social distancing of elderly,38%,29136808,17976976,51374,375340,68115
Nepal,3,Enhanced social distancing of elderly,44%,29136808,19036837,68722,438689,91145
Nepal,3.3,Enhanced social distancing of elderly,47%,29136808,19929941,73976,465308,98083
Nepal,2.4,Social distancing whole population,37%,29136808,16573605,67861,404186,89964
Nepal,2.7,Social distancing whole population,41%,29136808,17929890,73443,437647,97376
Nepal,3,Social distancing whole population,45%,29136808,19019549,77925,464550,103299
Nepal,3.3,Social distancing whole population,48%,29136808,19914885,81605,486673,108182
Nepal,2.4,Unmitigated,0%,29136808,25246764,103435,618530,137125
Nepal,2.7,Unmitigated,0%,29136808,26383379,108048,646608,143235
Nepal,3,Unmitigated,0%,29136808,27158877,111174,665732,147459
Nepal,3.3,Unmitigated,0%,29136808,27699543,113342,679053,150305
Netherlands,2.4,Enhanced social distancing of elderly,34%,17134873,7220136,28058,205761,37197
Netherlands,2.7,Enhanced social distancing of elderly,38%,17134873,7989521,33278,235667,44123
Netherlands,3,Enhanced social distancing of elderly,42%,17134873,8835361,50944,298252,67535
Netherlands,3.3,Enhanced social distancing of elderly,45%,17134873,9416254,57795,328452,76618
Netherlands,2.4,Social distancing whole population,36%,17134873,7613432,51419,272180,68167
Netherlands,2.7,Social distancing whole population,40%,17134873,8408762,59041,308423,78269
Netherlands,3,Social distancing whole population,43%,17134873,9072480,65859,340098,87349
Netherlands,3.3,Social distancing whole population,46%,17134873,9635442,72006,368077,95475
Netherlands,2.4,Unmitigated,0%,17134873,12639509,112170,538723,148706
Netherlands,2.7,Unmitigated,0%,17134873,13546944,127679,599545,169312
Netherlands,3,Unmitigated,0%,17134873,14232679,140922,649456,186784
Netherlands,3.3,Unmitigated,0%,17134873,14760921,152261,690771,201840
New Caledonia,2.4,Enhanced social distancing of elderly,33%,285491,149568,490,4049,650
New Caledonia,2.7,Enhanced social distancing of elderly,37%,285491,163700,568,4525,752
New Caledonia,3,Enhanced social distancing of elderly,42%,285491,174002,813,5388,1078
New Caledonia,3.3,Enhanced social distancing of elderly,45%,285491,183054,898,5788,1191
New Caledonia,2.4,Social distancing whole population,36%,285491,151106,831,5013,1102
New Caledonia,2.7,Social distancing whole population,40%,285491,164165,919,5494,1219
New Caledonia,3,Social distancing whole population,44%,285491,174768,993,5891,1317
New Caledonia,3.3,Social distancing whole population,47%,285491,183562,1056,6225,1400
New Caledonia,2.4,Unmitigated,0%,285491,233557,1451,8207,1923
New Caledonia,2.7,Unmitigated,0%,285491,245824,1559,8717,2066
New Caledonia,3,Unmitigated,0%,285491,254543,1639,9084,2173
New Caledonia,3.3,Unmitigated,0%,285491,260891,1699,9354,2253
New Zealand,2.4,Enhanced social distancing of elderly,35%,4822233,2146106,7270,55542,9638
New Zealand,2.7,Enhanced social distancing of elderly,39%,4822233,2366452,8571,63240,11365
New Zealand,3,Enhanced social distancing of elderly,42%,4822233,2597934,12914,78920,17119
New Zealand,3.3,Enhanced social distancing of elderly,45%,4822233,2760683,14582,86486,19331
New Zealand,2.4,Social distancing whole population,36%,4822233,2240631,12981,71911,17209
New Zealand,2.7,Social distancing whole population,40%,4822233,2465958,14825,81034,19652
New Zealand,3,Social distancing whole population,43%,4822233,2652973,16462,88945,21838
New Zealand,3.3,Social distancing whole population,46%,4822233,2810919,17929,95884,23775
New Zealand,2.4,Unmitigated,0%,4822233,3668162,27680,138773,36695
New Zealand,2.7,Unmitigated,0%,4822233,3914629,31276,153296,41477
New Zealand,3,Unmitigated,0%,4822233,4098244,34309,165041,45489
New Zealand,3.3,Unmitigated,0%,4822233,4237802,36876,174633,48884
Nicaragua,2.4,Enhanced social distancing of elderly,34%,6624554,3148983,6755,54823,8955
Nicaragua,2.7,Enhanced social distancing of elderly,38%,6624554,3483085,7923,62607,10503
Nicaragua,3,Enhanced social distancing of elderly,42%,6624554,3780816,11191,75677,14841
Nicaragua,3.3,Enhanced social distancing of elderly,45%,6624554,4015136,12413,82356,16459
Nicaragua,2.4,Social distancing whole population,36%,6624554,3196939,10735,66357,14232
Nicaragua,2.7,Social distancing whole population,40%,6624554,3526736,12108,74593,16056
Nicaragua,3,Social distancing whole population,43%,6624554,3800392,13286,81623,17611
Nicaragua,3.3,Social distancing whole population,46%,6624554,4030965,14306,87685,18964
Nicaragua,2.4,Unmitigated,0%,6624554,5241043,20112,121652,26663
Nicaragua,2.7,Unmitigated,0%,6624554,5582754,21910,131963,29044
Nicaragua,3,Unmitigated,0%,6624554,5830462,23267,139670,30845
Nicaragua,3.3,Unmitigated,0%,6624554,6013045,24304,145502,32232
Niger,2.4,Enhanced social distancing of elderly,35%,24206636,13215154,21430,181189,28411
